epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1
1,0.6364384832606597,0.6282823529411765,0.6282604805596301,0.5959236035029093,0.6728,0.6707346369128853
2,0.4799860108852386,0.7688470588235294,0.7688381392071697,0.40023814548651376,0.8197333333333333,0.8189668987222991
3,0.32144506071315093,0.8628235294117647,0.8628220830913498,0.41167944078445434,0.8293333333333334,0.8265623265623265
4,0.24009052610397338,0.904,0.9039987065536458,0.33187810690402986,0.864,0.863992417426152
5,0.17313013615709016,0.9334117647058824,0.9334117633787258,0.3504530940413475,0.8661333333333333,0.8661331810226416
6,0.11368223338407629,0.9600941176470589,0.9600940381113009,0.40821692005793253,0.8554666666666667,0.8549583478910194
7,0.07812953834506436,0.9721882352941177,0.972188234739807,0.6953197420358658,0.8285333333333333,0.8255176707092055
